The	35	0.171	0.0000000	0.0000000	0.0000000			N
barren	35	0.171	0.1467131	0.4697854	0.3130104	JJ	7.822717	C
islands	35	0.171	0.1523864	0.6371164	0.3287542	NNS	51.010395	N
,	35	0.171	0.0000000	0.0000000	0.0000000			N
reefs	35	0.171	0.1030373	0.7165971	0.3123692	NNS	4.181931	C
and	35	0.171	0.0000000	0.0000000	0.0000000			N
coral	35	0.171	0.1407537	0.7165971	0.3194472	NN	9.2777	N
outcrops	35	0.171	0.1409635	0.5763389	0.3071667	NNS	1.521513	C
are	35	0.171	0.0000000	0.0000000	0.0000000			N
believed	35	0.171	0.1728422	0.6990258	0.3201566	VBN	105.957967	N
to	35	0.171	0.0000000	0.0000000	0.0000000			N
be	35	0.171	0.0000000	0.0000000	0.0000000			N
in	35	0.171	0.0000000	0.0000000	0.0000000			N
rich	35	0.171	0.1498096	0.4643995	0.3282212	JJ	99.51333	N
in	35	0.171	0.0000000	0.0000000	0.0000000			N
oil	35	0.171	0.1072593	0.7154669	0.3019222	NN	143.444081	N
and	35	0.171	0.0000000	0.0000000	0.0000000			N
gas	35	0.171	0.0838818	0.7154669	0.2761219	NN	113.459013	N
and	35	0.171	0.0000000	0.0000000	0.0000000			N
the	35	0.171	0.0000000	0.0000000	0.0000000			N
overlapping	35	0.171	0.1573473	0.4809122	0.3151836	VBG	14.999185	C
claims	35	0.171	0.1824621	0.5094039	0.3247655	NNS	74.224229	N
have	35	0.171	0.0000000	0.0000000	0.0000000			N
long	35	0.171	0.1290916	0.4836499	0.3287037	RB	748.708986	N
been	35	0.171	0.0000000	0.0000000	0.0000000			N
feared	35	0.171	0.1276853	0.6990258	0.3148850	VBN	25.116704	N
as	35	0.171	0.0000000	0.0000000	0.0000000			N
Asia	35	0.171	0.1290916	0.4013017	0.2125301	NNP	64.556742	N
's	35	0.171	0.0000000	0.0000000	0.0000000			N
next	35	0.171	0.0000000	0.0000000	0.0000000			N
flashpoint	35	0.171	0.2068996	0.5570292	0.3166740	NN	0.165739	C
for	35	0.171	0.0000000	0.0000000	0.0000000			N
armed	35	0.171	0.1122163	0.4748343	0.2953251	JJ	49.06578	N
conflict	35	0.171	0.1991385	0.5570292	0.3310878	NN	117.051403	C
.	35	0.171	0.0000000	0.0000000	0.0000000			N

Both	11	0.091	0.0000000	0.0000000	0.0000000			N
China	11	0.091	0.1801514	0.5688560	0.3019875	NNP	128.511706	N
and	11	0.091	0.0000000	0.0000000	0.0000000			N
the	11	0.091	0.0000000	0.0000000	0.0000000			N
Philippines	11	0.091	0.1942082	0.5688560	0.2977748	NNPS	19.24986	N
flexed	11	0.091	0.1702169	0.6375746	0.2716052	VBD	3.1937	C
their	11	0.091	0.0000000	0.0000000	0.0000000			N
muscles	11	0.091	0.0718794	0.6375746	0.2780699	NNS	44.783902	N
on	11	0.091	0.0000000	0.0000000	0.0000000			N
Wednesday	11	0.091	0.0718794	0.2535557	0.1927474	NNP	11.297105	N
